"pcucode","villcode","villno","villname","villmetro","cup","postcode","latitude","longitude","ntraditional","nmonk","nreligionleader","nbroadcast","nradio","npchc","nshop","nfoodshop","nstall","nraintank","wastewater","garbage","outdate","numactually","numstateless","dateupdate","risktype","issend2hisgateway","issend2hisgatewaydt","issend2hisgatewayall"
"41124","34011900","0","นอกเขต(ใช้บันทึกคนนอกเขตฯ)",,,,"0","0","0","0","0","0","0","0","0","0","0","0","2","1",,"0","0","5/11/2017 08:49:07",,"1","8/8/2022 11:47:47",
"41124","34011901","1","หมู่บ้านประทานพร","2","21984","34000","15.4095972516126","104.794313907623","1","5","2","1","0","1","2","2","0","1","2","1",,"0","0","14/11/2014 12:59:05","007","1","8/8/2022 11:47:47",
"41124","34011902","2","หมู่บ้านอัสดง","2","10661","34000","15.3634668874995","104.811952114105","1","2","1","1","0","1","2","1","0","1","2","9",,"0","0","14/11/2014 13:04:04","007","1","8/8/2022 11:47:47",
"41124","34011903","3","หมู่บ้านหัวง้าวหงาย","2","21984","34000","15.375694834338","104.801115989685","1","3","2","1","0","1","1","0","0","1","2","9",,"0","0","14/11/2014 13:03:00","007","1","8/8/2022 11:47:47",
"41124","34011904","4","หมู่บ้านการันตี","2","21984","34000","15.3672739732257","104.798669815063","1","2","1","1","0","1","2","1","0","1","2","9",,"0","0","14/11/2014 13:04:41","007","1","8/8/2022 11:47:47",
"41124","34011905","5","หมู่บ้านโคกเกลือ","2","21984","34000","15.390255","104.807712","1","4","2","1","0","1","1","1","0","1","2","9",,"0","0","13/11/2014 10:45:49","007","1","8/8/2022 11:47:47",
"41124","34011906","6","หมู่บ้านจอห์นสัน","2","21984","34000","15.3587286239437","104.792232513428","1","6","2","1","0","1","2","1","0","1","2","9",,"0","0","17/11/2014 08:01:46","007","1","8/8/2022 11:47:47",
"41124","34011907","7","หมู่บ้านสันสะลา","2","21984","34000","15.338307","104.826718","1","0","1","1","1","1","2","1","0","1","2","9",,"0","0","19/11/2014 16:53:17","007","1","8/8/2022 11:47:47",
"41124","34011908","8","หมู่บ้านหนองแก้วหงอย","2","21984","34000","15.3766775907955","104.798058271408","0","0","1","1","0","1","1","1","0","1","2","2","1/1/1955","0","0","5/11/2017 08:48:25","007","1","8/8/2022 11:47:47",
"41124","34011909","9","หมู่บ้านพิเศษเก้าเบอร์","2","21984","34000","15.4027448056847","104.805005192757","1","0","1","1","0","1","1","0","0","1","2","9",,"0","0","17/11/2014 08:02:51","007","1","8/8/2022 11:47:47",
"41124","34011910","10","หมู่บ้านเจียวเหมียวนิ่ง","2","21984","34000","15.368592","104.804607","1","0","1","1","0","1","1","0","0","1","2","9",,"0","0","13/11/2014 10:52:12","007","1","8/8/2022 11:47:47",
"41124","34011911","11","หมู่บ้านโฮเล","2","21984","34000","15.4093128149537","104.794032275677","1","0","1","1","0","1","1","0","0","1","2","9",,"0","0","17/11/2014 08:03:20","007","1","8/8/2022 11:47:47",
